dataset,n_reference,n_test,n_anomaly,anomaly_prevalence,auroc,auprc,f1_oracle_prevalence,seed,context_size,projections,condition,projection_strategy,fit_seconds,score_seconds,total_seconds,cold_start
thyroid,1839,1933,93,0.04811174340403518,0.9779102384291725,0.7272326143785606,0.6559139784946236,2,200,6,evenly_spaced_seed2,evenly_spaced,0.001092375023290515,33.19347500009462,33.19456737511791,False
breastw,222,461,239,0.5184381778741866,0.9969655848316936,0.9970619587985592,0.9832635983263598,2,200,8,evenly_spaced_seed2,evenly_spaced,0.0005145000759512186,12.056131749995984,12.056646250071935,False
WDBC,178,189,10,0.05291005291005291,1.0,0.9999999999999999,1.0,2,178,8,evenly_spaced_seed2,evenly_spaced,0.0007796249119564891,12.706666249898262,12.707445874810219,False
Parkinson,24,171,147,0.8596491228070176,0.731859410430839,0.9469746899008703,0.8843537414965986,2,24,8,evenly_spaced_seed2,evenly_spaced,0.0006641249638050795,7.992609000066295,7.9932731250301,False
lympho,71,77,6,0.07792207792207792,0.9694835680751174,0.7436868686868686,0.6666666666666666,2,71,8,evenly_spaced_seed2,evenly_spaced,0.0005196250276640058,6.996160082984716,6.99667970801238,False
wbc,178,200,21,0.105,0.9672785315243416,0.8515952579862358,0.7619047619047619,2,178,8,evenly_spaced_seed2,evenly_spaced,0.0005258329911157489,13.441970124957152,13.442495957948267,False
glass,102,112,9,0.08035714285714286,0.639697950377562,0.15584687315551712,0.1111111111111111,2,102,8,evenly_spaced_seed2,evenly_spaced,0.0004942079540342093,6.9824973329668865,6.982991540920921,False
ionosphere,112,239,126,0.5271966527196653,0.9558926815563983,0.9689663390174068,0.8888888888888888,2,112,8,evenly_spaced_seed2,evenly_spaced,0.0005531669594347477,12.464096833020449,12.464649999979883,False
satimage-2,2866,2937,71,0.02417432754511406,0.9982308365194656,0.9734509955637938,0.9295774647887324,2,200,8,evenly_spaced_seed2,evenly_spaced,0.0013063749065622687,119.45983695809264,119.4611433329992,False
SpamBase,1264,2943,1679,0.5705062861026163,0.8179079243974336,0.8541367469150226,0.7867778439547349,2,200,8,evenly_spaced_seed2,evenly_spaced,0.0008998749544844031,166.18776562495623,166.1886654999107,False
shuttle,22793,26304,3511,0.13347779805352797,0.9920067638329,0.9848259438764194,0.9763600113927656,2,200,8,evenly_spaced_seed2,evenly_spaced,0.00420870806556195,649.7259677919792,649.7301765000448,False
campaign,18274,22914,4640,0.20249629047743736,0.8031234845154034,0.5532599748646053,0.5640086206896552,2,200,8,evenly_spaced_seed2,evenly_spaced,0.008464582962915301,1363.455508666928,1363.4639732498908,False
Hepatitis,33,47,13,0.2765957446808511,0.8212669683257918,0.6580530271706744,0.6923076923076923,3,33,8,evenly_spaced_seed3,evenly_spaced,2.0186771659646183,5.349399375030771,7.368076540995389,True
pima,250,518,268,0.5173745173745173,0.7437462686567164,0.7531215501102945,0.7014925373134329,3,200,8,evenly_spaced_seed3,evenly_spaced,0.0006627090042456985,19.31273512507323,19.313397834077477,False
thyroid,1839,1933,93,0.04811174340403518,0.9840521271622253,0.800018095160491,0.7419354838709677,3,200,6,evenly_spaced_seed3,evenly_spaced,0.0008819579379633069,32.36409129202366,32.36497324996162,False
